"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 29 14:59:55 MSK 2025","Fri Aug 29 15:00:01 MSK 2025","6295","autotests.tests","test_login_page","TestMainPage","","","Аутентификация",""
"passed","Fri Aug 29 15:05:21 MSK 2025","Fri Aug 29 15:05:28 MSK 2025","6914","autotests.tests","test_main_page","TestMainPage","","","Выход из системы",""
